Id,Label,timeset,modularity_class
P62993|GRB2_HUMAN,,,3
P09683|SECR_HUMAN,,,13
Q13283|G3BP1_HUMAN,,,10
P46940|IQGA1_HUMAN,,,13
Q9UL17|TBX21_HUMAN,,,1
Q9ULM2|ZN490_HUMAN,,,21
Q13163|MP2K5_HUMAN,,,12
Q8WWH4|ASZ1_HUMAN,,,12
Q9NQ88|TIGAR_HUMAN,,,25
P52789|HXK2_HUMAN,,,25
Q9Y216|MTMR7_HUMAN,,,13
Q96QG7|MTMR9_HUMAN,,,13
Q96IY4|CBPB2_HUMAN,,,7
P01031|CO5_HUMAN,,,7
Q14004|CDK13_HUMAN,,,19
P51956|NEK3_HUMAN,,,3
Q9ULE6|PALD_HUMAN,,,7
Q96P11|NSUN5_HUMAN,,,10
Q9H444|CHM4B_HUMAN,,,15
O75400|PR40A_HUMAN,,,10
Q68DQ2|CRBG3_HUMAN,,,4
Q96K12|FACR2_HUMAN,,,2
P40855|PEX19_HUMAN,,,2
Q15035|TRAM2_HUMAN,,,21
P13984|T2FB_HUMAN,,,21
P24928|RPB1_HUMAN,,,21
P20226|TBP_HUMAN,,,1
O95168|NDUB4_HUMAN,,,2
O75489|NDUS3_HUMAN,,,2
P47985|UCRI_HUMAN,,,2
P49821|NDUV1_HUMAN,,,2
Q6AI08|HEAT6_HUMAN,,,21
Q96T37|RBM15_HUMAN,,,10
Q96DZ1|ERLEC_HUMAN,,,5
P60604|UB2G2_HUMAN,,,15
Q9BZ76|CNTP3_HUMAN,,,7
Q9NZA1|CLIC5_HUMAN,,,13
P68133|ACTS_HUMAN,,,13
P12814|ACTN1_HUMAN,,,13
Q92545|TM131_HUMAN,,,21
Q7Z6K3|PTAR1_HUMAN,,,11
Q9GZN1|ARP6_HUMAN,,,1
Q15274|NADC_HUMAN,,,19
Q9Y2G2|CARD8_HUMAN,,,6
Q96A08|H2B1A_HUMAN,,,1
Q7L2H7|EIF3M_HUMAN,,,10
Q12884|SEPR_HUMAN,,,2
P20366|TKN1_HUMAN,,,0
Q9BWF3|RBM4_HUMAN,,,10
P00813|ADA_HUMAN,,,0
Q6BDS2|URFB1_HUMAN,,,1
O75312|ZPR1_HUMAN,,,15
P11388|TOP2A_HUMAN,,,1
Q13263|TIF1B_HUMAN,,,1
Q01167|FOXK2_HUMAN,,,1
P14927|QCR7_HUMAN,,,2
Q86WC4|OSTM1_HUMAN,,,0
Q9UGC6|RGS17_HUMAN,,,0
Q14154|DELE_HUMAN,,,12
Q8IUH5|ZDH17_HUMAN,,,12
Q9Y547|IFT25_HUMAN,,,4
A0AVF1|IFT56_HUMAN,,,4
Q9UG01|IF172_HUMAN,,,4
Q9C0K7|STRAB_HUMAN,,,12
P98170|XIAP_HUMAN,,,6
P15056|BRAF_HUMAN,,,12
Q02809|PLOD1_HUMAN,,,25
P30101|PDIA3_HUMAN,,,25
P55809|SCOT1_HUMAN,,,25
P00558|PGK1_HUMAN,,,25
Q07021|C1QBP_HUMAN,,,2
P51688|SPHM_HUMAN,,,2
Q03405|UPAR_HUMAN,,,3
P00441|SODC_HUMAN,,,25
P17098|ZNF8_HUMAN,,,1
Q9H4L7|SMRCD_HUMAN,,,1
Q13485|SMAD4_HUMAN,,,1
P08708|RS17_HUMAN,,,10
P62913|RL11_HUMAN,,,10
P22087|FBRL_HUMAN,,,10
O14980|XPO1_HUMAN,,,4
P39019|RS19_HUMAN,,,10
Q9UKV8|AGO2_HUMAN,,,10
P62081|RS7_HUMAN,,,10
P09661|RU2A_HUMAN,,,10
P56537|IF6_HUMAN,,,10
P46087|NOP2_HUMAN,,,10
O95602|RPA1_HUMAN,,,21
Q9UKJ1|PILRA_HUMAN,,,8
Q9Y6B6|SAR1B_HUMAN,,,9
O75131|CPNE3_HUMAN,,,2
P48507|GSH0_HUMAN,,,25
Q9NYV6|RRN3_HUMAN,,,21
P24864|CCNE1_HUMAN,,,1
